날짜,고객사,업종,활동유형,영업단계,예상적립금(억),진행상태,다음액션
2026-06-22,한빛정밀,제조,대면미팅,제도전환검토,48,진행중,비교표·절차자료 송부
2026-06-22,금강건설,건설,전화상담,니즈파악,120,진행중,담당자 미팅 일정 조율
2026-06-23,대성식품,식품제조,제안서발송,제안,65,검토대기,피드백 팔로업
2026-06-23,우리전자,전자부품,신규발굴,발굴,30,신규,기업 리서치 완료
2026-06-24,한빛정밀,제조,이메일응대,제도전환검토,48,진행중,설명회 일정안 송부
2026-06-24,서연물류,물류,대면미팅,계약협의,210,유력,약관 검토 회신
2026-06-25,미래제약,제약,화상미팅,니즈파악,88,진행중,수익률 자료 요청
2026-06-25,대성식품,식품제조,전화상담,제안,65,검토대기,제안서 보완
2026-06-26,청솔건설,건설,신규발굴,발굴,45,신규,의사결정자 파악
2026-06-26,서연물류,물류,계약체결,계약,210,완료,사후관리 등록
